Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Dealu Coman,coman,3,46.2586684389046,23.3504577302417,Alba,Deal,11830,,Dealu Coman,Geomil 25000,Limba română,Dealul Coman,PDT,Limba română
Stâna Comanului,coman,3,45.6452413603749,23.5433195074088,Alba,Altele,10461,10460,Stâna Comanului,Geomil 25000,Limba română
Vârful Comanului,coman,3,45.6508456962052,23.5383245049305,Alba,Înălțime,10460,,Vârful Comanului,Geomil 25000,Limba română,Dl. Koman,Transilvania (1869-1870),Limba română,Dealul Comanului,PDT,Limba română
Valea lui Coman,coman,3,45.2487344125515,24.7018660983306,Arges,Vale,4049,,Valea lui Coman,PDT,Limba română
Valea lui Coman,coman,3,44.9849006180001,24.8669419586134,Arges,Vale,6887,,Valea lui Coman,Geomil 25000,Limba română
Coman,coman,3,46.4743235238369,26.768500901693,Bacau,Localitate,3840,,Coman,Geomil 25000,Limba română
Comanul,coman,3,46.6416198932001,26.4004693829021,Bacau,Vale,9156,9155,Comanul,PDT,Limba română
Dealul Coman,coman,3,46.5341994665359,26.6475459824167,Bacau,Deal,9167,,Dealul Coman,Geomil 25000,Limba română
Fruntea Comanului,coman,3,46.6450272179152,26.4072313348352,Bacau,Înălțime,9155,,Fruntea Comanului,PDT,Limba română
Pădurea Coman,coman,3,46.5369381711246,26.651642475642,Bacau,Pădure,9168,9167,Pădurea Coman,Geomil 25000,Limba română
Valea Coman,coman,3,46.6455126247055,26.5031739396193,Bacau,Vale,9951,4605,Valea Coman,Geomil 25000,Limba română
Valea lui Coman,coman,3,46.4248455797765,26.7160651336198,Bacau,Vale,14319,,Valea lui Coman,PDT,Limba română
Movila lui Coman,coman,3,44.9141934818175,27.3096880283503,Braila,Înălțime,6736,,Movila lui Coman,PDT,Limba română
Balta lui Coman,coman,3,45.7750910555774,24.7388317307416,Brasov,Apă-deal-câmpie,4028,,Balta lui Coman,Geomil 25000,Limba română
Coman,coman,3,45.2926731043218,27.2142099957757,Buzau,Altele,8721,,Coman,PDT,Limba română
Crucea lui Coman,coman,3,45.1051557451218,26.5557488393266,Buzau,Altele,3966,,Crucea lui Coman,Geomil 25000,Limba română,Crucea lui Coman,PDT,Limba română
Cracu Comanului,coman,3,44.8045040248032,21.6788224845736,Caras Severin,Înălțime,8505,,Cracu Comanului,Geomil 25000,Limba română
Pârâu Ogașu Comanului,coman,3,44.8090669411002,21.6735186189006,Caras Severin,Vale,8506,8505,Pârâu Ogașu Comanului,Geomil 25000,Limba română
Vârfu Coman,coman,3,45.5534569397406,22.3098952975581,Caras Severin,Înălțime,6078,,Vârfu Coman,Geomil 25000,Limba română
Groapa lui Coman,coman,3,46.8134201171983,24.0589358631205,Cluj,Altele,8975,,Groapa lui Coman,PDT,Limba română
Vârful lui Coman,coman,3,47.0893470772665,23.451345192548,Cluj,Înălțime,10820,,Vârful lui Coman,Imperiul Habsburgic (1887),Limba română
Valea lui Coman,coman,3,45.1512105166548,25.4942794873382,Dambovita,Vale,7468,,Valea lui Coman,Geomil 25000,Limba română
Valea lui Coman,coman,3,44.648741286243,25.2236860556038,Dambovita,Vale,8479,,Valea lui Coman,Geomil 25000,Limba română,Valea lui Coman,PDT,Limba română
Comănicea,coman,3,44.4853037321237,23.3310753508773,Dolj,Localitate,110,,Comănicea,Geomil 25000,Limba română,Kumanișa,Austriacă,Limba română
Dealul Comănicea,coman,3,44.4866558075214,23.3185603295884,Dolj,Deal,111,110,Dealul Comănicea,Geomil 25000,Limba română
La Comani,coman,3,43.9972665628239,22.9828292473866,Dolj,Altele,162,8487,La Comani,Geomil 25000,Limba română
Măgura Coman,coman,3,43.8823365060496,23.4120783324868,Dolj,Înălțime,10345,,Măgura Coman,Geomil 25000,Limba română
Cotul la Coman,coman,3,45.6371222621958,27.5043483274498,Galati,Apă-deal-câmpie,10898,,Cotul la Coman,Geomil 25000,Limba română
Culmea Comănăștenilor,coman,3,44.9309287315196,22.8785624125363,Gorj,Înălțime,201,200,Culmea Comănăștenilor,Geomil 25000,Limba română
Dealul Comanului,coman,3,44.6736246220508,23.7025693117291,Gorj,Deal,5158,,Dealul Comanului,Geomil 25000,Limba română,D. Komanului,Austriacă,Limba română
Dealul lui Coman,coman,3,44.7208506391199,23.7124446351117,Gorj,Deal,5152,,Dealul lui Coman,Geomil 25000,Limba română
Valea Comanului,coman,3,44.6702298785715,23.7031273616157,Gorj,Vale,5159,5158,Valea Comanului,Geomil 25000,Limba română
Valea lui Coman,coman,3,44.7179747974309,23.7097636630394,Gorj,Vale,5153,5152,Valea lui Coman,Geomil 25000,Limba română
Vârfu lui Coman,coman,3,45.6748900944122,22.7066170517677,Hunedoara,Înălțime,10682,,Vârfu lui Coman,Geomil 25000,Limba română,Coman,Imperiul Habsburgic (1887),Limba română
Valea lui Moș Coman,coman,3,44.3889969535081,27.8054766252487,Ialomita,Vale,2832,,Valea lui Moș Coman,Geomil 25000,Limba română
Dealul Coman,coman,3,47.2328292873305,27.6531937541364,Iasi,Deal,4841,,Dealul Coman,Geomil 25000,Limba română
Coman,coman,3,47.7807985319988,24.8346650985793,Maramures,Înălțime,7192,7191,Coman,Geomil 25000,Limba română
Comanul,coman,3,47.7458988759353,24.8159866248212,Maramures,Înălțime,7190,7191,Comanul,PDT,Limba română
Koman,coman,3,47.8757147007348,24.0649000030556,Maramures,Altele,7170,,Koman,PDT,Limba română
Koman B.,coman,3,47.853105534391,24.0110716637773,Maramures,Deal,10264,,Koman B.,Ungară 1869,Limba română
Piciorul Comanului,coman,3,47.762472847589,24.8196290414317,Maramures,Înălțime,7191,,Piciorul Comanului,PDT,Limba română
Vârful lui Coman,coman,3,47.7940481801179,23.9881338135544,Maramures,Înălțime,4483,,Vârful lui Coman,Geomil 25000,Limba română
Comănești,coman,3,44.9335030161638,22.8584722732827,Mehedinti,Localitate,200,,Comănești,Geomil 25000,Limba română
Culmea Comăneștilor,coman,3,44.9577488791005,22.8564393588961,Mehedinti,Înălțime,199,200,Culmea Comăneștilor,Geomil 25000,Limba română
Bâtca lui Coman,coman,3,47.0228643320728,26.1657895227832,Neamt,Înălțime,11388,,Bâtca lui Coman,Geomil 25000,Limba română
Comănești,coman,3,44.4238781153579,24.1296805873319,Olt,Localitate,293,,Comănești,Geomil 25000,Limba română,Comănești,PDT,Limba română
Dealu Comănești,coman,3,44.4325346585327,24.1362012858302,Olt,Deal,292,293,Dealu Comănești,Geomil 25000,Limba română
Korbu Koman,coman,3,44.6855742230506,24.7614918711316,Olt,Localitate,12194,,Korbu Koman,Transilvania (1769-1773),Limba română
Pârâul lui Coman,coman,3,46.0190588567355,24.5097528827939,Sibiu,Vale,5530,,Pârâul lui Coman,PDT,Limba română
Valea lui Coman,coman,3,45.6589577282652,24.1743698495032,Sibiu,Vale,2499,,Valea lui Coman,Geomil 25000,Limba română
Valea lui Coman,coman,3,46.0270657649128,24.4823941727486,Sibiu,Vale,2646,,Valea lui Coman,Geomil 25000,Limba română,Valea lui Coman,PDT,Limba română
Coman,coman,3,47.7351857501583,25.8150728863975,Suceava,Vale,12916,2276,Coman,Geomil 25000,Limba română
Dealul Coman,coman,3,47.3457467559916,26.1780775104318,Suceava,Deal,1777,,Dealul Coman,Geomil 25000,Limba română
Dealul Coman,coman,3,47.7345224720725,25.859275795751,Suceava,Deal,2276,,Dealul Coman,Geomil 25000,Limba română
Dealul lui Coman,coman,3,47.295604867439,25.0520000993405,Suceava,Deal,6375,,Dealul lui Coman,Geomil 25000,Limba română
Comana,coman,3,44.4416245226535,25.203240385711,Teleorman,Înălțime,517,,Comana,Geomil 25000,Limba română
Găvanul la Cișmeaua lui Coman,coman,3,43.9054154263915,24.7561295801042,Teleorman,Altele,9477,,Găvanul la Cișmeaua lui Coman,PDT,Limba română
Movila lui Coman,coman,3,44.1688502495918,25.5396333075634,Teleorman,Înălțime,9029,,Movila lui Coman,PDT,Limba română
Puțul lui Coman,coman,3,44.3250327975332,25.0760255211062,Teleorman,Altele,9038,,Puțul lui Coman,PDT,Limba română
Dealu Comanu,coman,3,45.8911622720728,22.3657428900385,Timis,Deal,878,,Dealu Comanu,Geomil 25000,Limba română
Vârfu Comanului,coman,3,45.8204387413581,22.4063732163255,Timis,Înălțime,6212,,Vârfu Comanului,Geomil 25000,Limba română
Valea Comanca,coman,3,45.0216807176447,24.4666460225101,Valcea,Vale,335,,Valea Comanca,Geomil 25000,Limba română
Dealul Coman,coman,3,46.0562503765913,26.7625327567322,Vrancea,Deal,9206,,Dealul Coman,Geomil 25000,Limba română
Dealul lui Coman,coman,3,45.7866821425421,26.662745359921,Vrancea,Deal,7910,,Dealul lui Coman,Geomil 25000,Limba română,Dealul lui Coman,PDT,Limba română
Pârâul lui Coman,coman,3,45.7881986838432,26.6596158435988,Vrancea,Vale,9224,7910,Pârâul lui Coman,PDT,Limba română
