Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3
Corhana,corhana,3,46.7394476730416,26.6734607494469,Bacau,Înălțime,15556,Corhana,ANCPI,Limba română
Valea Corhana,corhana,3,46.3302868937937,26.6315359851391,Bacau,Vale,15647,Valea Corhana,PDT,Limba română
Corhana,corhana,3,46.8364164445816,21.6391393193146,Bihor,Vale,15516,Corhana,ANCPI,Limba română,Korhány ér,Ungară 1869,Limba maghiară,Korhambu,Ungaria (1782–1785),Limba română
Corhăneasa,corhăneasa,3,47.2690415241309,24.7820374323599,Bistrita Nasaud,Înălțime,15761,Corhăneasa,PDT,Limba română
Muchia Corhanei,corhana,3,47.3296454880266,26.9031804648909,Iasi,Înălțime,15702,Muchia Corhanei,ANCPI,Limba română
Corhana,corhana,3,46.9825217164463,26.8114099943839,Neamt,Localitate,15515,Corhana,PDT,Limba română
Dealul Corhana,corhana,3,48.1433478859185,26.3356924387064,Neamt,Deal,15525,Dealul Corhana,PDT,Limba română
La Corhana,corhana,3,46.810043783084,26.9774117030144,Neamt,Altele,15524,La Corhana,Moldova (1892-1898),Limba română
Pădurea Corhana,corhana,3,47.0504602225481,26.7075405606677,Neamt,Pădure,15519,Pădurea Corhana,PDT,Limba română
Muntele Corhana,corhana,3,47.3511615639487,25.4541076953132,Suceava,Înălțime,15521,Muntele Corhana,ANCPI,Limba română
Jg. Corhănoasa,corhănoasa,3,47.2773840139372,25.6706465275149,Suceava,Vale,15505,Jg. Corhănoasa,PDT,Limba română
