Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Gura Călmățui,călmățui,2,44.8183865895093,27.7817249815232,Braila,Localitate,3191,Gura Călmățui,Geomil 25000,Limba română
Pârâul Călmățui,călmățui,2,44.9828239648436,27.5582041991508,Braila,Vale,3188,Pârâul Călmățui,Geomil 25000,Limba română
Dealul Călmățuiu,călmățui,2,45.475956853582,26.3389598153182,Buzau,Deal,793,Dealul Călmățuiu,Geomil 25000,Limba română
Kelmeziu,călmățui,2,45.61736042536,26.5353816003827,Buzau,Înălțime,13778,Kelmeziu,Austriacă,Limba română
Pârâul Călmățuiu,călmățui,2,45.1534296881932,26.7186442315274,Buzau,Apă-deal-câmpie,69,Pârâul Călmățuiu,PDT,Limba română
Dealul Călmățui,călmățui,2,46.1096495449986,27.6393564470557,Galati,Deal,9756,Dealul Călmățui,Moldova (1892-1898),Limba română
Valea Călmățui,călmățui,2,45.7991104520002,27.6389452056303,Galati,Vale,2190,Valea Călmățui,Geomil 25000,Limba română
Valea Călmățui,călmățui,2,45.743327664449,27.6473496419989,Galati,Vale,3524,Valea Călmățui,Geomil 25000,Limba română
Pârâu Călmățuiu Sec,călmățui,2,44.2304824036737,24.6995593718633,Olt,Vale,2978,Pârâu Călmățuiu Sec,Geomil 25000,Limba română
Valea Călmățui,călmățui,2,44.2122143834088,24.6271943786231,Olt,Vale,2983,Valea Călmățui,Geomil 25000,Limba română
