Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2,Nume 3,Hartă 3,Limbă 3,Nume 4,Hartă 4,Limbă 4
Dealul Balaciului,balaciu,3,46.0723929312656,23.1366210538818,Alba,Deal,13152,,Dealul Balaciului,Geomil 25000,Limba română
Dealul Balcaciu,balcaci,3,46.1293505578533,24.0762566826838,Alba,Deal,11424,,Dealul Balcaciu,Geomil 25000,Limba română
Valea Balcaciu,balcaci,3,46.2179331938749,24.0735326380594,Alba,Vale,11423,,Valea Balcaciu,Geomil 25000,Limba română
Pădurea Berindei,berindei,3,46.2056581905428,24.0835437077728,Alba,Pădure,8636,,Pădurea Berindei,PDT,Limba română
Beșineu,beșineu,3,46.0944501533202,23.8087127434583,Alba,Localitate,10482,,Beșineu,Transilvania (1869-1870),Limba română
Bibarț,bibarţ,2,46.178105151931,23.8022649104907,Alba,Altele,12825,,Bibarț,Geomil 25000,Limba română
Boncești,boncești,3,46.3628582523079,23.0728517925333,Alba,Localitate,14670,,Boncești,ANCPI,Limba română
Vârful Ciocanului,ciocan,3,46.0797850325853,23.4151955210631,Alba,Înălțime,15669,,Vârful Ciocanului,Imperiul Habsburgic (1887),Limba română
Colțul Cioranului,cioran,3,46.3258092327221,23.3078711546354,Alba,Înălțime,15737,,Colțul Cioranului,ANCPI,Limba română
Valea Cioranului,cioran,3,46.3192043384329,23.2901969052218,Alba,Vale,15738,15737,Valea Cioranului,ANCPI,Limba română
Dealu Coman,coman,3,46.2586684389046,23.3504577302417,Alba,Deal,11830,,Dealu Coman,Geomil 25000,Limba română,Dealul Coman,PDT,Limba română
Stâna Comanului,coman,3,45.6452413603749,23.5433195074088,Alba,Altele,10461,10460,Stâna Comanului,Geomil 25000,Limba română
Vârful Comanului,coman,3,45.6508456962052,23.5383245049305,Alba,Înălțime,10460,,Vârful Comanului,Geomil 25000,Limba română,Dl. Koman,Transilvania (1869-1870),Limba română,Dealul Comanului,PDT,Limba română
Epure,epure,2,46.1362889040967,23.145652064022,Alba,Deal,11822,,Epure,Transilvania (1869-1870),Limba română,Dealul Iepurelui,Geomil 25000,Limba română
Furduiești,furduești,3,46.3361543230606,23.0807508291548,Alba,Localitate,10666,,Furduiești,Geomil 25000,Limba română
