Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Galați,galați,2,45.855816819473,24.9795799122981,Brasov,Localitate,2681,Galați,Geomil 25000,Limba română
Lacul Gălățui,galați,2,44.228503694242,27.1215503540946,Calarasi,Lac,3239,Lacul Gălățui,Geomil 25000,Limba română
Galații Bistriței,galați,2,46.9929296157415,24.4203283053893,Bistrita Nasaud,Localitate,5482,Galații Bistriței,Geomil 25000,Limba română
Galați,galați,2,48.0109369770006,26.3088389454337,Botosani,Localitate,9579,Galați,Moldova (1892-1898),Limba română
Valea Galaților,galați,2,47.297895679203,24.6621787942408,Bistrita Nasaud,Vale,9874,Valea Galaților,PDT,Limba română
Galați,galați,2,45.4355003315658,28.0551916892781,Galati,Localitate,10903,Galați,Geomil 25000,Limba română,Galații,Moldova (1892-1898),Limba română
Galați,galați,2,46.0905566222449,23.2929136153191,Alba,Localitate,11778,Galați,Geomil 25000,Limba română,Galatz,Transilvania (1869-1870),Limba română
Galați,galați,2,45.5271800828543,23.0635019598265,Hunedoara,Localitate,12732,Galați,Geomil 25000,Limba română
Vârful Galațului,galaț,3,47.5634024336749,24.8123925731446,Bistrita Nasaud,Înălțime,6352,Vârful Galațului,PDT,Limba română
Galacza,galaț,3,46.9877411640061,22.4298188392918,Bihor,Localitate,12140,Galacza,Ungaria (1782–1785),Limba maghiară
