Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Dealul Jurcăului,jurcău,3,46.9345925714074,22.5362842555058,Bihor,Deal,14816,Dealul Jurcăului,ANCPI,Limba română
Valea Giurca Mare,giurca,3,45.5234541280686,26.2516577279879,Buzau,Vale,14559,Valea Giurca Mare,PDT,Limba română,Val. Gurka,Austriacă,Limba română
Pârâul Jurca,jurca,3,45.0902556613282,22.6152552593706,Caras Severin,Vale,15070,Pârâul Jurca,Munții noștri,Limba română
Giurcă,giurcă,2,46.5239339576331,23.7428284063711,Cluj,Altele,15232,Giurcă,PDT,Limba română
Giurcuța de Sus,giurcuța,3,46.649288860831,22.9178319620299,Cluj,Localitate,15120,Giurcuța de Sus,ANCPI,Limba română
Valea lui Giurcă,giurcă,2,44.9383354413171,23.1982930752303,Gorj,Vale,14975,Valea lui Giurcă,PDT,Limba română
Giurcu,giurcu,3,44.8540237372255,23.6131725545279,Gorj,Localitate,15395,Giurcu,PDT,Limba română
Dealul Jurchii,jurca,3,47.6694444918523,24.5418903072319,Maramures,Deal,15138,Dealul Jurchii,Munții noștri,Limba română
Cariera Giurca,giurcă,2,44.4799628860233,22.7317690525619,Mehedinti,Altele,15244,Cariera Giurca,PDT,Limba română
Pădurea Plaiul lui Giurcă,giurcă,2,47.0665615017138,26.1476662680048,Neamt,Pădure,15385,Pădurea Plaiul lui Giurcă,ANCPI,Limba română
Giurcani,giurcani,3,45.2301981204742,25.9175021855021,Prahova,Înălțime,15324,Giurcani,ANCPI,Limba română
Valea Giurca,giurcă,2,44.6379398835023,23.8723216604906,Valcea,Vale,14861,Valea Giurca,PDT,Limba română
Giurcani,giurcani,3,46.2780551135754,27.9802251387294,Vaslui,Localitate,14426,Giurcani,ANCPI,Limba română
