Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1
Colțul Cioranului,cioran,3,46.3258092327221,23.3078711546354,Alba,Înălțime,15737,,Colțul Cioranului,ANCPI,Limba română
Valea Cioranului,cioran,3,46.3192043384329,23.2901969052218,Alba,Vale,15738,15737,Valea Cioranului,ANCPI,Limba română
Pădurea Ciorăneștilor,ciorănești,3,44.5487430844764,25.1501057595213,Arges,Pădure,15778,15776,Pădurea Ciorăneștilor,PDT,Limba română
Eleșteul Cioranilor,ciorani,3,44.5490032044637,25.1630688977219,Arges,Apă-deal-câmpie,15777,15776,Eleșteul Cioranilor,PDT,Limba română
Valea Cioranilor,ciorani,3,44.551286873217,25.1459752000568,Arges,Vale,15776,,Valea Cioranilor,PDT,Limba română
Cioranca,cioranca,3,44.9871878525214,26.7154648166028,Buzau,Localitate,14658,,Cioranca,PDT,Limba română
Valea Ciorani,ciorani,3,44.3934744476538,26.7580360581756,Calarasi,Vale,14654,,Valea Ciorani,PDT,Limba română
Cioranul,cioran,3,44.677875518183,25.5559066860106,Dambovita,Localitate,15751,,Cioranul,PDT,Limba română
Dealul Cioranului,cioran,3,44.567269680396,23.5506458417526,Dolj,Deal,15788,,Dealul Cioranului,ANCPI,Limba română
Ciorăști,ciorăști,3,46.1140671237036,27.4499675119156,Galati,Localitate,14660,,Ciorăști,PDT,Limba română
Cioranu,cioran,3,43.9860124446782,26.1609301183992,Giurgiu,Altele,15434,,Cioranu,Austriacă,Limba română
Cioranului B.,cioran,3,44.0219764435461,26.1706969388876,Giurgiu,Apă-deal-câmpie,14759,,Cioranului B.,Austriacă,Limba română
Ciorogârla,ciorogârla,3,44.5000267729811,25.8248518672851,Giurgiu,Vale,14655,,Ciorogârla,ANCPI,Limba română
Ciorăni,ciorăni,3,47.3120400449509,27.0875495705719,Iasi,Localitate,15412,,Ciorăni,PDT,Limba română
Dealul Cioroaia,cioroaia (turanic),3,47.1249626467139,27.7075104348052,Iasi,Deal,14928,,Dealul Cioroaia,PDT,Limba română
Coasta Cioranului,cioran,3,46.1226122219152,24.7158258455279,Mures,Înălțime,15297,15298,Coasta Cioranului,ANCPI,Limba română
Dealul Cioranului,cioran,3,46.1204536214121,24.734851607952,Mures,Deal,15298,,Dealul Cioranului,ANCPI,Limba română
Ciorogărești,ciorogărești,3,46.0920013973382,24.7261412956607,Mures,Înălțime,15300,,Ciorogărești,PDT,Limba română
Ciorani de jos,ciorani,3,44.8193980475735,26.4103702389465,Prahova,Localitate,14656,,Ciorani de jos,Austriacă,Limba română
Valea lui Ciora,ciora,3,44.3763163070858,24.9086240899572,Teleorman,Vale,14824,,Valea lui Ciora,PDT,Limba română
Dealul Cioran,cioran,3,46.4945603420379,27.8001472061914,Vaslui,Deal,14741,,Dealul Cioran,ANCPI,Limba română
Dealul Cioranilor,ciorani,3,46.2232483746016,27.9577999244903,Vaslui,Deal,14829,,Dealul Cioranilor,PDT,Limba română
Valea Cioranilor,ciorani,3,46.2194464870008,27.9682888968337,Vaslui,Vale,14830,14829,Valea Cioranilor,PDT,Limba română
Ciorani,ciorani,3,45.9877154931422,27.2156563933867,Vrancea,Localitate,14657,,Ciorani,PDT,Limba română
