Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,Nume 1,Hartă 1,Limbă 1
Cioranca,cioranca,3,44.9871878525214,26.7154648166028,Buzau,Localitate,14658,Cioranca,PDT,Limba română
Valea Ciorani,ciorani,3,44.3934744476538,26.7580360581756,Calarasi,Vale,14654,Valea Ciorani,PDT,Limba română
Ciorăști,ciorăști,3,46.1140671237036,27.4499675119156,Galati,Localitate,14660,Ciorăști,PDT,Limba română
Cioranului B.,cioran,3,44.0219764435461,26.1706969388876,Giurgiu,Apă-deal-câmpie,14759,Cioranului B.,Austriacă,Limba română
Ciorogârla,ciorogârla,3,44.5000267729811,25.8248518672851,Giurgiu,Vale,14655,Ciorogârla,ANCPI,Limba română
Dealul Cioroaia,cioroaia (turanic),3,47.1249626467139,27.7075104348052,Iasi,Deal,14928,Dealul Cioroaia,PDT,Limba română
Ciorani de jos,ciorani,3,44.8193980475735,26.4103702389465,Prahova,Localitate,14656,Ciorani de jos,Austriacă,Limba română
Valea lui Ciora,ciora,3,44.3763163070858,24.9086240899572,Teleorman,Vale,14824,Valea lui Ciora,PDT,Limba română
Dealul Cioran,cioran,3,46.4945603420379,27.8001472061914,Vaslui,Deal,14741,Dealul Cioran,ANCPI,Limba română
Dealul Cioranilor,ciorani,3,46.2232483746016,27.9577999244903,Vaslui,Deal,14829,Dealul Cioranilor,PDT,Limba română
Ciorani,ciorani,3,45.9877154931422,27.2156563933867,Vrancea,Localitate,14657,Ciorani,PDT,Limba română
