Nume,Tip,Nivel,Latitudine,Longitudine,Județ,Formă,ID,ID Părinte,Nume 1,Hartă 1,Limbă 1,Nume 2,Hartă 2,Limbă 2
Podișul Șoldănești,șoldănești,3,47.7532472804569,26.9186246363726,Botosani,Altele,6669,6670,Podișul Șoldănești,Geomil 25000,Limba română
Șoldănești,șoldănești,3,47.7349711675104,26.9239922260523,Botosani,Localitate,6670,,Șoldănești,Geomil 25000,Limba română
Șoldanu,șoldan,2,44.2228485324975,26.5226790817525,Calarasi,Localitate,8455,,Șoldanu,Geomil 25000,Limba română,Șoldanul,PDT,Limba română
Dealu Șoldan,șoldan,2,44.9587913670888,21.7259620884375,Caras Severin,Deal,12709,,Dealu Șoldan,Geomil 25000,Limba română
Dealul Șoldanului,șoldan,2,45.4105339053588,27.9828211009979,Galati,Deal,8715,,Dealul Șoldanului,PDT,Limba română
Valea Șoldan,șoldan,2,45.4224562115072,27.986309269124,Galati,Vale,10902,8715,Valea Șoldan,Moldova (1892-1898),Limba română
Dealul Șoldana,șoldana,3,47.4904600695032,27.2772345587598,Iasi,Deal,6649,6650,Dealul Șoldana,Geomil 25000,Limba română
Șoldana,șoldana,3,47.4955867404192,27.2930679304057,Iasi,Localitate,6650,,Șoldana,PDT,Limba română
Șoldana Mică,șoldana,3,47.5023177157846,27.2897573600376,Iasi,Localitate,6657,6650,Șoldana Mică,PDT,Limba română
Pârâul Șoldanului,șoldan,2,47.1728239191743,25.8724820446863,Neamt,Vale,6433,,Pârâul Șoldanului,PDT,Limba română,Șoldanul,Geomil 25000,Limba română
Poiana Curul Șoldanului,șoldan,2,47.1765601945839,25.8757513845558,Neamt,Poiană,6434,6433,Poiana Curul Șoldanului,PDT,Limba română
Dealul Șoldăneștilor,șoldănești,3,47.450241351065,26.3301797741267,Suceava,Deal,4929,4928,Dealul Șoldăneștilor,PDT,Limba română
Pârâul Șoldăneștilor,șoldănești,3,47.4445664581879,26.3167906791362,Suceava,Vale,4930,4928,Pârâul Șoldăneștilor,PDT,Limba română
Șoldănești,șoldănești,3,47.4524339813623,26.3266943991942,Suceava,Localitate,4928,,Șoldănești,PDT,Limba română
